Bankrupt?,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability
0,0.450397309,0.504034017,0.506986455,0.594639588,0.594639588,0.998905537,0.797293037,0.809239142,0.303488755,0.781491378,8010000000.0,0.0,0.462633888,0.000414041,0.0,0.178753529,0.178753529,0.178753529,0.20487851,0.318455118,0.029432672,0.087615015,0.16072908,0.021975238,0.847242468,0.68837111,0.68837111,0.217462057,6720000000.0,0.000426495,0.263435671,0.377035133,0.00975036,0.005754928,0.630234175,0.005869103,0.115609033,0.884390967,0.005180489,0.372957594,0.005919738,0.087628446,0.159716462,0.398019622,0.140929535,0.002140546,0.002953671,0.000138337,0.000162647,0.032741935,0.015463478,0.389091156,0.012668676,0.778115712,0.153374891,0.259177395,0.069737919,0.005650027,0.007309909,0.050257335,0.342192633,0.277531686,0.01093818,0.403584389,0.733788068,0.328358814,0.016590223,0.927051004,0.002077176,0.017202295,6500000000.0,3880000000.0,0.59393539,5450000000.0,0.671586291,0.457496849,0.403584389,0.328358814,0.117688423,0.666103393,0.464341731,0.570384529,0.318116311,0.029918535,0,0.780554329,0.004919312,0.623633775,0.594641021,0.838868677,0.279035542,0.026788158,0.565144055,1,0.032463577
0,0.465070931,0.53368949,0.516944162,0.594740483,0.594740483,0.998962386,0.797392642,0.809312574,0.30354362,0.781571799,2460000000.0,25500000.0,0.46190584,0.000743074,0.51533556,0.179469892,0.179469892,0.179469892,0.214900255,0.319303954,0.013279489,0.095269115,0.170520449,0.022311448,0.848157279,0.689712983,0.689712983,0.217629684,5670000000.0,0.000446085,0.264142015,0.379028352,0.00833882,0.001752992,0.649043849,0.014823225,0.183420504,0.816579496,0.005642612,0.381240172,0.005556571,0.095290439,0.169542267,0.412982987,0.037481259,0.000462601,0.013697554,1090000000.0,0.000152813,0.02,0.056372369,0.392279686,0.046430298,0.804444652,0.259962932,0.70201655,0.039685347,0.002956679,0.001342597,0.156716409,0.341929029,0.278126155,0.014247344,0.815194833,0.737743394,0.336999105,0.001664987,0.931492791,0.002246091,0.00393624,0.000747781,0.000278754,0.59406023,0.000110772,0.671530956,0.128754501,0.815194833,0.336999105,0.113807976,0.6237671,0.456596849,0.572140223,0.309892797,0.034853514,0,0.796315229,0.054012581,0.6133229,0.594735853,0.840085104,0.285529212,0.029521363,0.568791144,1,0.019155337
0,0.476332082,0.534507196,0.526580652,0.610984592,0.609182894,0.999040842,0.79738116,0.809311792,0.303359446,0.781569834,0.000177965,263000000.0,0.466903198,0.000291029,0.0,0.174918882,0.174918882,0.174918882,0.214805711,0.324043291,0.013914727,0.10039899,0.169993221,0.022073659,0.847985702,0.689133629,0.689133629,0.217562836,6380000000.0,0.000440295,0.263572433,0.385902165,0.006356922,0.004307618,0.633985836,0.005825331,0.115095081,0.884904919,0.005203764,0.374145293,0.005365848,0.100379436,0.168999321,0.39918786,0.070464768,0.00048492,0.013047729,8270000000.0,9460000000.0,0.021290323,0.005640174,0.393444291,0.0077829,0.755785896,0.231111521,0.301147287,0.019118704,0.004772337,0.001146843,0.088177883,0.352662756,0.279027469,0.004446882,0.72076248,0.732271932,0.329989813,0.006660374,0.931564141,0.002234685,0.02111899,0.000166572,0.000131303,0.593922377,2920000000.0,0.671563905,0.393512972,0.72076248,0.329989813,0.114063672,0.635830435,0.457715393,0.609689445,0.313481902,0.045315456,0,0.796530771,0.000551827,0.623563475,0.610983816,0.840084566,0.279003869,0.044600359,0.569914995,1,0.032626481
0,0.514113002,0.566779328,0.565340757,0.613312386,0.613312386,0.999153963,0.797617722,0.809496933,0.303536128,0.781769554,0.000131016,469000000.0,0.473198963,0.000179018,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.333274386,0.01836139,0.111717287,0.185659411,0.022115585,0.848062968,0.689601868,0.689600338,0.217602709,6880000000.0,0.000464351,0.264218166,0.390344995,0.009045214,0.006555315,0.630816016,0.003776252,0.086343985,0.913656015,0.005274454,0.373070548,0.006560154,0.111721791,0.184669331,0.397761055,0.064467766,0.000710134,0.008906271,6970000000.0,870000000.0,0.019032258,0.011010091,0.399029873,0.016982847,0.780637746,0.250131082,0.324360466,0.037732651,0.006793249,0.002954306,0.067444711,0.366600236,0.277360076,0.006167661,0.727300651,0.733675796,0.328696064,0.006272352,0.93813288,0.002517348,0.011735276,0.000203593,0.000160733,0.59396447,6460000000.0,0.67157157,0.393043355,0.727300651,0.328696064,0.113672571,0.642379287,0.459115458,0.638581131,0.314493636,0.032198762,0,0.815698137,0.00306821,0.624210291,0.61331342,0.841335501,0.277517807,0.026846957,0.565411119,1,0.044359183
0,0.474918344,0.53368949,0.529739279,0.601976102,0.601976102,0.99896227,0.797381021,0.809314787,0.303523559,0.781567448,0.000140961,7420000000.0,0.462868742,0.000140014,0.0,0.176351608,0.176351608,0.176351608,0.214616621,0.319162481,0.012402257,0.095269115,0.169993221,0.022084294,0.847934694,0.689195,0.689195,0.217566493,6360000000.0,0.000441892,0.263898796,0.377715063,0.009063934,0.004084283,0.632849208,0.003958635,0.089246304,0.910753696,0.00518808,0.373851164,0.005365848,0.095274154,0.168984239,0.399178482,0.070464768,0.001809826,0.003492488,3480000000.0,8250000000.0,0.019677419,0.008895025,0.391985708,0.013555285,0.790928956,0.204896475,0.435557199,0.032718875,0.0041387,0.001922046,0.090050943,0.344861066,0.277786062,0.013067452,0.943968239,0.734310506,0.329586734,0.001157939,0.937875415,0.002242013,0.013041646,0.00024893,0.000117296,0.593975075,5060000000.0,0.671581475,0.429477803,0.943968239,0.329586734,0.111618064,0.65060025,0.461423945,0.576953451,0.315592892,0.03213287,0,0.796865414,0.003257345,0.623102722,0.601977769,0.840101288,0.277649892,0.037216642,0.569733495,1,0.04284071
0,0.573879979,0.614751417,0.635205311,0.622176739,0.622176739,0.999410709,0.797939363,0.809813313,0.303561264,0.782104292,1630000000.0,107000000.0,0.473210706,0.000549055,0.023686608,0.23252286,0.23252286,0.23252286,0.262078094,0.34565325,0.019828486,0.136796678,0.212397379,0.022323,0.848245544,0.689896407,0.689907977,0.217649624,0.00011031,0.000613454,0.265190262,0.390801386,0.006597795,0.006007583,0.630962932,0.006611404,0.124134595,0.875865405,0.005005601,0.3747,0.005365848,0.136759653,0.208913355,0.395739413,0.053973013,0.001235632,0.005115769,0.000125535,3710000000.0,0.019354839,0.041334841,0.453924606,0.174156217,0.757458741,0.241130982,0.259739495,0.178137294,0.005993114,0.012790541,0.073588029,0.360642904,0.27753778,0.00191787,0.556052078,0.732409803,0.329526532,0.022383265,0.944833429,0.004167573,0.003248308,0.000235791,0.000224694,0.593931018,0.000434664,0.67165732,0.753413468,0.556052078,0.329526532,0.120514753,0.688009274,0.468477677,0.645362153,0.321811058,0.043723375,0,0.832858821,0.133315621,0.623744971,0.622177679,0.842987656,0.279573863,0.026897208,0.56561795,1,0.030017443
0,0.49027446,0.538541212,0.538947481,0.602920192,0.602898572,0.998997974,0.797404124,0.809328328,0.30348948,0.781609834,0.000120031,4070000000.0,0.466341226,0.000315032,0.049701387,0.199190932,0.199190932,0.199190932,0.218492956,0.322946877,0.020025107,0.098689032,0.17172554,0.022125461,0.848160444,0.689240474,0.689240474,0.217596079,6160000000.0,0.000446708,0.263902682,0.379512686,0.008296386,0.00638875,0.632877289,0.006286762,0.120506696,0.879493304,0.006074312,0.37512945,0.008380253,0.098604394,0.17065078,0.397817323,0.065967016,0.000742597,0.008525427,0.000124389,0.000187611,0.021129032,0.01674133,0.39402094,0.010867762,0.768086366,0.186721594,0.227526107,0.026527695,0.00665151,0.002699484,0.051782344,0.346729248,0.277353443,0.004601991,0.399252503,0.733140587,0.328487309,0.032181231,0.936346492,0.002261593,0.012715904,0.000132358,0.000112683,0.593942306,4330000000.0,0.671561646,0.173635085,0.399252503,0.328487309,0.122797515,0.634481438,0.457499674,0.588438925,0.313236393,0.035027521,0,0.798300595,0.009143849,0.62397457,0.602915741,0.840224357,0.279338238,0.028109994,0.567955764,1,0.031018534
0,0.476185833,0.519733973,0.51126934,0.604484066,0.604368757,0.99896331,0.797383788,0.809221305,0.30352646,0.781465834,0.000178311,4550000000.0,0.460969779,0.000444044,0.0,0.152374531,0.152374531,0.152374531,0.209416659,0.317005022,0.011358652,0.095350541,0.17006854,0.022425198,0.848157538,0.689532417,0.689532417,0.217601558,5870000000.0,0.00042682,0.264142015,0.374939458,0.006014958,0.003520955,0.627640375,0.011146372,0.162771714,0.837228286,0.005032297,0.379978662,0.005365848,0.095323009,0.169097353,0.403111908,0.076461769,0.000758828,0.00832732,493000000.0,7410000000.0,0.027096774,0.011101156,0.392030936,0.017733442,0.751888756,0.253560482,0.413557284,0.020511436,0.003590229,0.000855262,0.127062917,0.339717513,0.293309409,0.006615106,0.74159104,0.732042497,0.333612156,0.008347345,0.904831432,0.002167746,0.030225493,0.000208756,0.000129588,0.593916406,2830000000.0,0.671565265,0.504596784,0.74159104,0.333612156,0.118177044,0.636340909,0.458240215,0.559680309,0.313204769,0.047784608,0,0.78493782,0.00080882,0.623309286,0.604483625,0.838910021,0.282863066,0.039854416,0.569820128,1,0.022063246
0,0.534100327,0.584986917,0.577814658,0.612108851,0.611085487,0.999111095,0.797679007,0.809541461,0.303733112,0.781815168,0.000138186,3530000000.0,0.466248962,0.000648065,0.168033202,0.19063672,0.19063672,0.19063672,0.236929186,0.325281177,0.020115855,0.109274489,0.191684869,0.022088103,0.848028382,0.689332489,0.689332489,0.217585942,729000000.0,0.000476279,0.263784569,0.381114713,0.005899514,0.004287655,0.631304023,0.008261064,0.140490371,0.859509629,0.005438552,0.376348463,0.00584357,0.109279072,0.190619109,0.39846039,0.070464768,0.000906942,0.006972167,8540000000.0,0.00013617,0.023548387,0.012581702,0.398238394,0.012198053,0.750042555,0.180071764,0.245082684,0.051130683,0.004252579,0.003491486,0.077401716,0.348315615,0.252844397,0.004607176,0.517559385,0.731878859,0.330067572,0.01751563,0.941338793,0.002515507,0.015427189,0.000142116,0.000107534,0.593913846,8270000000.0,0.671572459,0.261427295,0.517559385,0.330067572,0.118755774,0.643058554,0.459297876,0.599494297,0.31458919,0.048681551,0,0.821743765,0.008844019,0.623329495,0.612108755,0.8423143,0.280769965,0.026996911,0.565979587,1,0.026130588
0,0.579973675,0.624781945,0.617538412,0.606538001,0.606538001,0.999108207,0.797582998,0.809462431,0.303571416,0.781725203,6810000000.0,221000000.0,0.47125974,0.000371037,0.185747545,0.2218617,0.2218617,0.2218617,0.262834452,0.336245314,0.067607423,0.141682273,0.219326655,0.022103748,0.848050663,0.689521366,0.689522145,0.21760258,7810000000.0,0.000482518,0.264424086,0.382819195,0.009601842,0.0038466,0.630741702,0.004334346,0.095020709,0.904979291,0.005169755,0.372784248,0.005365848,0.141677659,0.218414901,0.399277621,0.212893553,0.004281091,0.001477263,0.000103179,0.000251914,0.042580645,0.097545643,0.439904118,0.055762742,0.793066658,0.201186009,0.413401414,0.028794703,0.004541723,0.001882861,0.08085137,0.364352071,0.277685464,0.013414752,0.796257314,0.734509132,0.329326283,0.003299428,0.959907566,0.002771273,0.015823294,7430000000.0,3480000000.0,0.593937239,1590000000.0,0.671568881,0.451885493,0.796257314,0.329326283,0.112839675,0.634921935,0.457161142,0.6386474,0.313464046,0.030372225,0,0.846106942,0.018713611,0.623510294,0.606535197,0.843470672,0.277922667,0.026811144,0.565251929,1,0.040096534
